Restaurant Name,Locality,City,Cuisines,Highlights
3rd & Main,Aurora,Aurora,"American, BBQ, Burger","['Lunch', 'Serves Alcohol', 'Dinner', 'Vegetarian Friendly', 'Live Music', 'Kid Friendly', 'Wifi', 'Nightlife', 'Table booking recommended', 'Outdoor Seating']"
Grill'd - The Junction,The Junction,The Junction,Burger,"['Cash', 'Lunch', 'Credit Card', 'Dinner', 'Indoor Seating', 'Gluten Free Options', 'Vegetarian Friendly', 'Kid Friendly', 'Vegan Options', 'Beer']"
The Art of Food,Dullstroom,Dullstroom,"Contemporary, South African","['Credit Card', 'Breakfast', 'Dinner', 'Takeaway Available', 'Lunch', 'Serves Alcohol', 'Outdoor Seating']"
The Stunned Mullet,Port Macquarie,Port Macquarie,"Seafood, Modern Australian","['Lunch', 'Dinner', 'Outdoor Seating', 'Gluten Free Options', 'Kid Friendly', 'Waterfront', 'Table booking recommended']"
White Grill,Nevada,Nevada,"Burger, Coffee and Tea, Diner","['Breakfast', 'Dinner', 'Lunch']"
Gorges Cafe,Kalbarri,Kalbarri,"Breakfast, Modern Australian","['Breakfast', 'Dinner', 'Lunch']"
The Harrietville Snowline Hotel,Harrietville,Harrietville,"Bar Food, Steak","['Cash', 'Dinner', 'Lunch', 'Indoor Seating', 'Gluten Free Options', 'Fullbar', 'Outdoor Seating', 'Kid Friendly', 'Nightlife']"
Goodfellas Cafe,Burnside,Burnside,"Italian, Pizza","['Breakfast', 'Dinner', 'Indoor Seating']"
Aquacafe,Goolwa South,Goolwa South,"Coffee and Tea, Seafood","['Dinner', 'Lunch', 'Outdoor Seating', 'Waterfront', 'Kid Friendly', 'Table booking recommended']"
Victory Hotel,Sellicks Beach,Sellicks Beach,Pub Food,"['Lunch', 'Dinner', 'Outdoor Seating', 'Vegan Options', 'Kid Friendly', 'Gluten Free Options', 'Waterfront', 'Table booking recommended']"
Laffah Cafeteria - كافتيريا لفاح,Al Majaz,Sharjah,"Fast Food, Arabian, Middle Eastern","['Lunch', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Cash', 'Delivery', 'Outdoor Seating', 'Table booking not available', 'Wifi']"
The Stanley Pub,Stanley,Stanley,Australian,"['Cash', 'Dinner', 'Lunch', 'Kid Friendly', 'Gastro Pub', 'Garden', 'Indoor Seating', 'Wifi']"
Coffee Cartel,Breakwater,Breakwater,"Breakfast, Burger, Coffee and Tea","['Lunch', 'Dinner']"
Koffee Kup,Hico,Hico,"Breakfast, Burger, Desserts","['Cash', 'Lunch', 'Breakfast', 'Dinner', 'Wifi', 'Kid Friendly']"
The Shanty Restaurant,Wadsworth,Wadsworth,"American, Burger, Steak","['Lunch', 'Cash', 'Dinner', 'Credit Card', 'Live Music', 'Kid Friendly', 'Fullbar', 'Indoor Seating', 'Private Dining Area Available', 'Table booking recommended']"
MK's Asian Kitchen,Opelika,Opelika,"Asian, Chinese","['Lunch', 'Dinner']"
Barbeque Nation,"City Mall, Golghar",Gorakhpur,North Indian,"['Lunch', 'Cash', 'Dinner', 'Mall Parking', 'Credit Card', 'Debit Card', 'Fullbar', 'Air Conditioned', 'Buffet', 'Indoor Seating']"
Barbeque Nation,"RDB Boulevard, Sector 5",Kolkata,"North Indian, Chinese, Kebab, BBQ, Desserts","['Dinner', 'Delivery', 'Lunch', 'Cash', 'Credit Card', 'Debit Card', 'Desserts and Bakes', 'Indoor Seating', 'Air Conditioned', 'Reopened', 'Buffet', 'Table reservation required', 'Kid Friendly']"
The Forge Pizzeria,Alfredton,Alfredton,"Italian, Pizza","['Lunch', 'Dinner']"
WAKI Japanese BBQ Dining,Thamrin,Jakarta,"Japanese, BBQ","['Dinner', 'Takeaway Available', 'Lunch', 'Credit Card', 'Cash', 'Debit Card', 'Delivery', 'Wine', 'Air Conditioned', 'VAT', 'Table booking recommended', 'Private Dining Area Available', 'Reopened', 'Service Charge', 'Indoor Seating', 'Smoking Area', 'Beer', 'Group Meal']"
The Green Ant Cantina,Parramatta Park,Parramatta Park,"Mexican, Spanish","['Dinner', 'Live Music', 'Vegan Options', 'Outdoor Seating', 'Vegetarian Friendly', 'Table booking recommended']"
Ravine Vineyard Winery Restaurant,St Davids,St Davids,Canadian,"['Cash', 'Debit Card', 'Dinner', 'Credit Card', 'Lunch', 'Serves Alcohol', 'Indoor Seating', 'Wifi', 'Vegan Options', 'Wine', 'Table booking recommended', 'Outdoor Seating', 'Kid Friendly', 'Gluten Free Options']"
Ellicottville Brewing Co.,Ellicottville,Ellicottville,"Bar Food, Sandwich","['Dinner', 'Lunch', 'Serves Alcohol', 'Nightlife']"
That Little Place By the Lights,Huntsville,Huntsville,"Coffee and Tea, Desserts, Italian","['Breakfast', 'Dinner', 'Lunch']"
Appellation,Marananga,Marananga,Modern Australian,"['Dinner', 'Indoor Seating', 'Table booking recommended']"
Peewee's at the Point,East Point,East Point,"Desserts, Seafood, Modern Australian","['Lunch', 'Dinner', 'Table booking recommended', 'Outdoor Seating', 'Gluten Free Options', 'Waterfront']"
From Scratch A Mountain Kitchen,Fairmont Hot Springs,Fairmont Hot Springs,"American, Pizza, Sandwich","['Dinner', 'Lunch', 'Outdoor Seating', 'Wifi', 'Vegan Options', 'Kid Friendly', 'Gluten Free Options']"
Maggie's Town Tavern,Little Falls,Little Falls,"Pizza, Bar Food, Steak","['Lunch', 'Serves Alcohol', 'Dinner', 'Outdoor Seating', 'Nightlife', 'Kid Friendly', 'Sports Bar']"
Maya,Bozcaada,Bozcaada,Izgara,"['Cash', 'Breakfast', 'Lunch', 'Serves Alcohol', 'Dinner', 'Smoking Area', 'Live Music', 'Outdoor Seating', 'Fullbar', 'Table reservation required']"
